order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
1,07-03-2022,Aalopuri,Fastfood,20,13,260,,M,Night
2,8/23/2022,Vadapav,Fastfood,20,15,300,Cash,M,Afternoon
3,11/20/2022,Vadapav,Fastfood,20,1,20,Cash,M,Afternoon
4,02-03-2023,Sugarcane juice,Beverages,25,6,150,Online,M,Night
5,10-02-2022,Sugarcane juice,Beverages,25,8,200,Online,M,Evening
6,11/14/2022,Vadapav,Fastfood,20,10,200,Cash,M,Evening
7,05-03-2022,Sugarcane juice,Beverages,25,9,225,Cash,M,Evening
8,12/22/2022,Panipuri,Fastfood,20,14,280,Online,M,Night
9,06-10-2022,Panipuri,Fastfood,20,1,20,Cash,F,Morning
10,9/16/2022,Panipuri,Fastfood,20,5,100,Online,M,Afternoon
11,12-01-2022,Frankie,Fastfood,50,8,400,Online,F,Afternoon
12,07-12-2022,Vadapav,Fastfood,20,8,160,Online,F,Night
13,12/22/2022,Panipuri,Fastfood,20,9,180,Online,F,Afternoon
14,11/25/2022,Frankie,Fastfood,50,4,200,Online,M,Morning
15,02-03-2023,Aalopuri,Fastfood,20,3,60,Cash,F,Evening
16,4/14/2022,Sandwich,Fastfood,60,11,660,,F,Midnight
17,10/16/2022,Panipuri,Fastfood,20,11,220,Cash,F,Morning
18,11-05-2022,Panipuri,Fastfood,20,10,200,Cash,F,Night
19,8/22/2022,Panipuri,Fastfood,20,11,220,Cash,F,Night
20,9/15/2022,Cold coffee,Beverages,40,10,400,Online,M,Night
21,12/21/2022,Cold coffee,Beverages,40,15,600,Cash,M,Evening
22,10-04-2022,Sugarcane juice,Beverages,25,12,300,Online,M,Evening
23,5/26/2022,Sandwich,Fastfood,60,3,180,Online,M,Midnight
24,02-11-2023,Sugarcane juice,Beverages,25,10,250,Online,M,Afternoon
25,8/31/2022,Sandwich,Fastfood,60,1,60,Online,F,Evening
26,8/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,M,Afternoon
27,10-12-2022,Cold coffee,Beverages,40,11,440,Online,F,Afternoon
28,01-06-2023,Cold coffee,Beverages,40,10,400,Online,F,Afternoon
29,02-10-2023,Sugarcane juice,Beverages,25,9,225,Online,M,Afternoon
30,1/28/2023,Frankie,Fastfood,50,2,100,Cash,F,Night
31,9/14/2022,Cold coffee,Beverages,40,13,520,Online,F,Evening
32,05-06-2022,Aalopuri,Fastfood,20,4,80,,M,Morning
33,02-05-2023,Aalopuri,Fastfood,20,13,260,Online,M,Night
34,02-04-2023,Frankie,Fastfood,50,12,600,Online,F,Evening
35,5/22/2022,Vadapav,Fastfood,20,8,160,Cash,M,Morning
36,07-02-2022,Cold coffee,Beverages,40,10,400,Online,M,Afternoon
37,01-05-2023,Frankie,Fastfood,50,10,500,Cash,M,Night
38,03-08-2023,Panipuri,Fastfood,20,12,240,Online,F,Night
39,5/14/2022,Vadapav,Fastfood,20,2,40,Online,M,Evening
40,02-05-2023,Sandwich,Fastfood,60,5,300,Online,F,Night
41,11/13/2022,Cold coffee,Beverages,40,11,440,,M,Afternoon
42,05-09-2022,Aalopuri,Fastfood,20,8,160,Online,F,Night
43,5/26/2022,Vadapav,Fastfood,20,1,20,Cash,M,Night
44,8/28/2022,Cold coffee,Beverages,40,12,480,Cash,M,Evening
45,8/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,F,Afternoon
46,05-07-2022,Vadapav,Fastfood,20,7,140,Cash,M,Evening
47,07-10-2022,Sandwich,Fastfood,60,7,420,,M,Morning
48,2/23/2023,Sandwich,Fastfood,60,14,840,Online,M,Afternoon
49,11-06-2022,Frankie,Fastfood,50,4,200,Online,F,Morning
50,11-02-2022,Vadapav,Fastfood,20,8,160,Cash,F,Midnight
51,5/16/2022,Frankie,Fastfood,50,15,750,Online,F,Morning
52,3/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,F,Midnight
53,7/26/2022,Aalopuri,Fastfood,20,13,260,Cash,M,Afternoon
54,12/28/2022,Panipuri,Fastfood,20,14,280,Online,F,Morning
55,05-07-2022,Sandwich,Fastfood,60,10,600,Cash,M,Night
56,11/23/2022,Panipuri,Fastfood,20,11,220,Cash,F,Midnight
57,08-04-2022,Panipuri,Fastfood,20,14,280,Online,F,Morning
58,02-03-2023,Vadapav,Fastfood,20,6,120,Online,F,Morning
59,07-01-2022,Vadapav,Fastfood,20,5,100,Cash,M,Morning
60,06-11-2022,Cold coffee,Beverages,40,2,80,Online,M,Night
61,12/25/2022,Vadapav,Fastfood,20,14,280,Cash,F,Afternoon
62,10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,M,Afternoon
63,12-01-2022,Sandwich,Fastfood,60,7,420,Online,F,Morning
64,12-09-2022,Cold coffee,Beverages,40,1,40,Cash,M,Morning
65,7/25/2022,Aalopuri,Fastfood,20,4,80,Cash,M,Morning
66,04-05-2022,Frankie,Fastfood,50,2,100,Cash,F,Morning
67,5/15/2022,Aalopuri,Fastfood,20,9,180,Cash,M,Midnight
68,12/17/2022,Cold coffee,Beverages,40,2,80,,M,Night
69,01-10-2023,Vadapav,Fastfood,20,7,140,Cash,M,Midnight
70,05-09-2022,Cold coffee,Beverages,40,14,560,,F,Morning
71,12-05-2022,Cold coffee,Beverages,40,6,240,Online,M,Night
72,03-09-2023,Frankie,Fastfood,50,13,650,Online,M,Afternoon
73,7/29/2022,Panipuri,Fastfood,20,5,100,Cash,M,Midnight
74,8/15/2022,Cold coffee,Beverages,40,10,400,Online,F,Evening
75,02-02-2023,Cold coffee,Beverages,40,6,240,Online,F,Afternoon
76,8/17/2022,Vadapav,Fastfood,20,9,180,Online,M,Morning
77,02-04-2023,Sugarcane juice,Beverages,25,12,300,Cash,F,Midnight
78,10-01-2022,Vadapav,Fastfood,20,4,80,Cash,F,Evening
79,11-05-2022,Panipuri,Fastfood,20,6,120,Online,M,Night
80,5/24/2022,Frankie,Fastfood,50,13,650,Cash,M,Evening
81,11/19/2022,Frankie,Fastfood,50,12,600,Online,F,Night
82,7/17/2022,Frankie,Fastfood,50,3,150,Online,F,Evening
83,11/13/2022,Frankie,Fastfood,50,11,550,,M,Evening
84,03-03-2023,Panipuri,Fastfood,20,13,260,Cash,M,Midnight
85,8/19/2022,Aalopuri,Fastfood,20,3,60,Online,F,Night
86,03-09-2023,Aalopuri,Fastfood,20,15,300,Cash,M,Morning
87,5/29/2022,Aalopuri,Fastfood,20,8,160,Cash,M,Night
88,07-07-2022,Cold coffee,Beverages,40,10,400,Cash,M,Evening
89,12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,M,Evening
90,10/29/2022,Vadapav,Fastfood,20,15,300,Online,M,Night
91,3/22/2023,Cold coffee,Beverages,40,6,240,,F,Evening
92,5/13/2022,Aalopuri,Fastfood,20,15,300,Cash,M,Afternoon
93,07-03-2022,Cold coffee,Beverages,40,2,80,Online,F,Midnight
94,9/14/2022,Aalopuri,Fastfood,20,15,300,,F,Night
95,05-12-2022,Sugarcane juice,Beverages,25,8,200,Online,M,Night
96,8/22/2022,Sandwich,Fastfood,60,15,900,,M,Morning
97,3/29/2023,Cold coffee,Beverages,40,13,520,Online,M,Evening
98,12/24/2022,Vadapav,Fastfood,20,1,20,Online,M,Morning
99,09-11-2022,Sugarcane juice,Beverages,25,3,75,Cash,M,Evening
100,05-08-2022,Panipuri,Fastfood,20,11,220,,M,Morning
101,3/26/2023,Vadapav,Fastfood,20,3,60,Online,F,Morning
102,3/13/2023,Cold coffee,Beverages,40,14,560,Cash,M,Morning
103,3/14/2023,Cold coffee,Beverages,40,8,320,Online,F,Midnight
104,10/27/2022,Cold coffee,Beverages,40,13,520,Online,M,Morning
105,1/25/2023,Panipuri,Fastfood,20,8,160,Cash,F,Evening
106,2/25/2023,Frankie,Fastfood,50,9,450,Cash,F,Evening
107,02-07-2023,Sandwich,Fastfood,60,4,240,Online,M,Afternoon
108,08-06-2022,Panipuri,Fastfood,20,5,100,Online,M,Afternoon
109,08-08-2022,Cold coffee,Beverages,40,12,480,,M,Afternoon
110,11/16/2022,Panipuri,Fastfood,20,2,40,Online,F,Morning
111,09-04-2022,Sandwich,Fastfood,60,8,480,Cash,F,Midnight
112,2/24/2023,Sandwich,Fastfood,60,7,420,Cash,M,Morning
113,12-12-2022,Aalopuri,Fastfood,20,8,160,Cash,M,Afternoon
114,8/14/2022,Aalopuri,Fastfood,20,10,200,Online,M,Afternoon
115,01-12-2023,Aalopuri,Fastfood,20,13,260,,M,Evening
116,8/26/2022,Sugarcane juice,Beverages,25,13,325,Cash,M,Evening
117,03-09-2023,Frankie,Fastfood,50,7,350,Online,F,Evening
118,07-06-2022,Sandwich,Fastfood,60,1,60,Online,M,Midnight
119,05-12-2022,Panipuri,Fastfood,20,10,200,Cash,M,Evening
120,07-10-2022,Frankie,Fastfood,50,2,100,Cash,F,Evening
121,8/26/2022,Cold coffee,Beverages,40,8,320,Cash,M,Afternoon
122,4/24/2022,Panipuri,Fastfood,20,3,60,,F,Night
123,06-09-2022,Cold coffee,Beverages,40,6,240,Online,M,Evening
124,10/14/2022,Sugarcane juice,Beverages,25,13,325,,F,Evening
125,04-10-2022,Vadapav,Fastfood,20,7,140,Cash,F,Midnight
126,04-08-2022,Panipuri,Fastfood,20,11,220,Online,F,Night
127,12-03-2022,Aalopuri,Fastfood,20,1,20,,F,Morning
128,08-07-2022,Vadapav,Fastfood,20,11,220,Online,M,Midnight
129,10/19/2022,Panipuri,Fastfood,20,13,260,Cash,F,Morning
130,12/28/2022,Sugarcane juice,Beverages,25,7,175,Cash,M,Night
131,1/19/2023,Sandwich,Fastfood,60,8,480,Cash,M,Night
132,12-05-2022,Vadapav,Fastfood,20,4,80,Online,F,Night
133,12/20/2022,Aalopuri,Fastfood,20,5,100,Online,M,Midnight
134,7/17/2022,Aalopuri,Fastfood,20,12,240,Online,F,Night
135,1/14/2023,Aalopuri,Fastfood,20,8,160,Online,M,Midnight
136,8/24/2022,Aalopuri,Fastfood,20,15,300,Online,M,Morning
137,3/19/2023,Sugarcane juice,Beverages,25,6,150,,M,Afternoon
138,09-01-2022,Sandwich,Fastfood,60,15,900,Online,M,Night
139,2/26/2023,Frankie,Fastfood,50,11,550,Online,F,Night
140,06-12-2022,Frankie,Fastfood,50,13,650,Cash,M,Night
141,6/15/2022,Aalopuri,Fastfood,20,4,80,,M,Evening
142,12/30/2022,Sugarcane juice,Beverages,25,12,300,Cash,F,Morning
143,9/18/2022,Frankie,Fastfood,50,8,400,,F,Afternoon
144,11/17/2022,Panipuri,Fastfood,20,10,200,Cash,F,Evening
145,10-09-2022,Sandwich,Fastfood,60,14,840,Online,M,Morning
146,10/28/2022,Frankie,Fastfood,50,4,200,,F,Afternoon
147,5/17/2022,Panipuri,Fastfood,20,7,140,Online,M,Evening
148,3/19/2023,Sandwich,Fastfood,60,13,780,Online,M,Evening
149,08-09-2022,Sandwich,Fastfood,60,7,420,Online,M,Morning
150,1/30/2023,Cold coffee,Beverages,40,14,560,Cash,M,Afternoon
151,07-10-2022,Frankie,Fastfood,50,13,650,Online,F,Morning
152,10/24/2022,Cold coffee,Beverages,40,9,360,Online,M,Afternoon
153,7/21/2022,Panipuri,Fastfood,20,1,20,Cash,F,Evening
154,12/13/2022,Vadapav,Fastfood,20,3,60,Cash,M,Night
155,02-07-2023,Sugarcane juice,Beverages,25,10,250,Cash,F,Evening
156,3/25/2023,Panipuri,Fastfood,20,14,280,Cash,M,Midnight
157,2/24/2023,Frankie,Fastfood,50,7,350,Online,F,Midnight
158,5/16/2022,Aalopuri,Fastfood,20,2,40,,M,Midnight
159,10-03-2022,Sugarcane juice,Beverages,25,1,25,Online,F,Afternoon
160,7/23/2022,Vadapav,Fastfood,20,10,200,Online,M,Night
161,1/19/2023,Sugarcane juice,Beverages,25,12,300,Cash,M,Evening
162,05-07-2022,Aalopuri,Fastfood,20,11,220,Cash,M,Midnight
163,01-06-2023,Frankie,Fastfood,50,6,300,Online,F,Midnight
164,08-10-2022,Sugarcane juice,Beverages,25,7,175,Online,M,Afternoon
165,01-05-2023,Sandwich,Fastfood,60,11,660,Cash,M,Midnight
166,06-01-2022,Panipuri,Fastfood,20,6,120,Cash,F,Evening
167,2/23/2023,Cold coffee,Beverages,40,6,240,Cash,F,Morning
168,4/19/2022,Sandwich,Fastfood,60,4,240,Cash,F,Midnight
169,6/20/2022,Vadapav,Fastfood,20,6,120,Cash,M,Morning
170,2/13/2023,Aalopuri,Fastfood,20,6,120,,F,Afternoon
171,03-02-2023,Vadapav,Fastfood,20,11,220,Cash,F,Midnight
172,8/27/2022,Sugarcane juice,Beverages,25,6,150,Online,F,Night
173,1/20/2023,Cold coffee,Beverages,40,2,80,Online,M,Night
174,09-03-2022,Aalopuri,Fastfood,20,2,40,Online,M,Evening
175,10/17/2022,Frankie,Fastfood,50,12,600,Cash,F,Afternoon
176,08-04-2022,Panipuri,Fastfood,20,1,20,Cash,F,Midnight
177,7/21/2022,Panipuri,Fastfood,20,11,220,Online,F,Morning
178,12-09-2022,Aalopuri,Fastfood,20,2,40,Cash,F,Morning
179,03-03-2023,Sugarcane juice,Beverages,25,5,125,,F,Midnight
180,12-01-2022,Vadapav,Fastfood,20,6,120,Online,F,Afternoon
181,06-09-2022,Cold coffee,Beverages,40,7,280,Cash,F,Night
182,07-02-2022,Cold coffee,Beverages,40,1,40,Cash,M,Midnight
183,07-10-2022,Sugarcane juice,Beverages,25,5,125,Cash,F,Midnight
184,01-03-2023,Cold coffee,Beverages,40,8,320,Cash,M,Night
185,1/13/2023,Sugarcane juice,Beverages,25,15,375,,M,Night
186,3/15/2023,Frankie,Fastfood,50,2,100,Online,M,Afternoon
187,10-11-2022,Aalopuri,Fastfood,20,15,300,Cash,F,Morning
188,12/28/2022,Panipuri,Fastfood,20,14,280,Cash,F,Night
189,02-08-2023,Vadapav,Fastfood,20,12,240,Online,M,Afternoon
190,4/26/2022,Cold coffee,Beverages,40,1,40,Online,M,Evening
191,5/20/2022,Sugarcane juice,Beverages,25,14,350,Cash,F,Morning
192,10/26/2022,Vadapav,Fastfood,20,2,40,Online,M,Night
193,02-05-2023,Cold coffee,Beverages,40,15,600,Online,F,Midnight
194,12/15/2022,Vadapav,Fastfood,20,4,80,Cash,F,Morning
195,4/23/2022,Sandwich,Fastfood,60,4,240,Cash,F,Night
196,6/25/2022,Sandwich,Fastfood,60,3,180,Cash,M,Evening
197,11-08-2022,Panipuri,Fastfood,20,10,200,Cash,F,Midnight
198,01-05-2023,Frankie,Fastfood,50,15,750,Cash,M,Morning
199,02-01-2023,Frankie,Fastfood,50,6,300,Online,F,Morning
200,12/25/2022,Cold coffee,Beverages,40,10,400,Cash,F,Morning
201,6/30/2022,Panipuri,Fastfood,20,8,160,Cash,M,Morning
202,9/21/2022,Aalopuri,Fastfood,20,9,180,Cash,M,Afternoon
203,04-11-2022,Vadapav,Fastfood,20,6,120,Online,F,Midnight
204,10/24/2022,Cold coffee,Beverages,40,7,280,Cash,F,Evening
205,10/17/2022,Vadapav,Fastfood,20,4,80,,M,Afternoon
206,7/27/2022,Aalopuri,Fastfood,20,4,80,Cash,M,Night
207,2/20/2023,Cold coffee,Beverages,40,8,320,Online,F,Evening
208,8/26/2022,Cold coffee,Beverages,40,13,520,Cash,F,Midnight
209,12-04-2022,Aalopuri,Fastfood,20,2,40,Cash,M,Night
210,01-02-2023,Sugarcane juice,Beverages,25,15,375,,M,Night
211,4/18/2022,Aalopuri,Fastfood,20,12,240,Cash,M,Morning
212,05-05-2022,Cold coffee,Beverages,40,12,480,Online,F,Morning
213,9/29/2022,Vadapav,Fastfood,20,3,60,,F,Midnight
214,12-03-2022,Sugarcane juice,Beverages,25,14,350,Online,M,Evening
215,12-10-2022,Sugarcane juice,Beverages,25,7,175,,F,Morning
216,03-07-2023,Panipuri,Fastfood,20,9,180,Cash,F,Afternoon
217,3/23/2023,Cold coffee,Beverages,40,10,400,Cash,M,Morning
218,12/23/2022,Cold coffee,Beverages,40,13,520,Online,F,Midnight
219,10-01-2022,Aalopuri,Fastfood,20,9,180,Cash,F,Evening
220,5/13/2022,Sugarcane juice,Beverages,25,1,25,Cash,M,Afternoon
221,3/26/2023,Sandwich,Fastfood,60,1,60,Online,M,Evening
222,09-11-2022,Sandwich,Fastfood,60,6,360,Cash,F,Morning
223,9/21/2022,Panipuri,Fastfood,20,13,260,Online,M,Night
224,3/23/2023,Sugarcane juice,Beverages,25,14,350,Cash,M,Afternoon
225,3/16/2023,Frankie,Fastfood,50,11,550,Cash,F,Evening
226,12-12-2022,Aalopuri,Fastfood,20,13,260,Online,F,Afternoon
227,11/17/2022,Cold coffee,Beverages,40,5,200,Cash,F,Afternoon
228,11-05-2022,Panipuri,Fastfood,20,8,160,Online,M,Night
229,12/15/2022,Panipuri,Fastfood,20,7,140,,M,Evening
230,4/16/2022,Frankie,Fastfood,50,6,300,Online,M,Afternoon
231,4/16/2022,Sugarcane juice,Beverages,25,3,75,,M,Night
232,4/23/2022,Vadapav,Fastfood,20,13,260,Cash,F,Night
233,7/31/2022,Panipuri,Fastfood,20,5,100,Cash,M,Morning
234,7/27/2022,Panipuri,Fastfood,20,10,200,Cash,M,Midnight
235,11/29/2022,Sandwich,Fastfood,60,10,600,Cash,F,Afternoon
236,6/26/2022,Vadapav,Fastfood,20,12,240,,F,Evening
237,11-08-2022,Panipuri,Fastfood,20,13,260,Cash,F,Midnight
238,4/26/2022,Vadapav,Fastfood,20,13,260,Cash,M,Morning
239,12-04-2022,Frankie,Fastfood,50,4,200,Online,M,Evening
240,12-11-2022,Sandwich,Fastfood,60,10,600,Cash,F,Morning
241,06-06-2022,Sugarcane juice,Beverages,25,2,50,Cash,M,Afternoon
242,12/23/2022,Cold coffee,Beverages,40,4,160,Online,F,Midnight
243,11-12-2022,Panipuri,Fastfood,20,5,100,Cash,F,Midnight
244,11/22/2022,Sandwich,Fastfood,60,10,600,Online,F,Midnight
245,10-03-2022,Vadapav,Fastfood,20,2,40,Cash,F,Morning
246,11/16/2022,Vadapav,Fastfood,20,10,200,Cash,M,Afternoon
247,10-03-2022,Sugarcane juice,Beverages,25,6,150,,M,Midnight
248,4/17/2022,Frankie,Fastfood,50,5,250,Online,F,Midnight
249,10/26/2022,Sugarcane juice,Beverages,25,3,75,Online,F,Afternoon
250,11/15/2022,Sugarcane juice,Beverages,25,6,150,Online,F,Midnight
251,12/21/2022,Cold coffee,Beverages,40,13,520,,F,Afternoon
252,3/26/2023,Vadapav,Fastfood,20,8,160,Online,M,Midnight
253,6/18/2022,Sugarcane juice,Beverages,25,13,325,Online,M,Afternoon
254,10-09-2022,Cold coffee,Beverages,40,12,480,,F,Afternoon
255,4/30/2022,Vadapav,Fastfood,20,7,140,,F,Afternoon
256,3/16/2023,Aalopuri,Fastfood,20,3,60,Online,F,Midnight
257,01-03-2023,Sandwich,Fastfood,60,10,600,Cash,F,Midnight
258,09-06-2022,Vadapav,Fastfood,20,14,280,Cash,M,Midnight
259,11/18/2022,Sandwich,Fastfood,60,4,240,Online,M,Morning
260,09-10-2022,Sugarcane juice,Beverages,25,2,50,Online,F,Night
261,01-11-2023,Frankie,Fastfood,50,9,450,Cash,F,Midnight
262,03-05-2023,Vadapav,Fastfood,20,5,100,,F,Evening
263,6/19/2022,Panipuri,Fastfood,20,2,40,Cash,M,Evening
264,7/18/2022,Sugarcane juice,Beverages,25,12,300,Online,M,Morning
265,8/15/2022,Vadapav,Fastfood,20,6,120,Cash,M,Midnight
266,10-02-2022,Frankie,Fastfood,50,10,500,Online,F,Night
267,03-05-2023,Vadapav,Fastfood,20,1,20,Cash,M,Morning
268,02-05-2023,Cold coffee,Beverages,40,12,480,Cash,F,Midnight
269,12/22/2022,Panipuri,Fastfood,20,2,40,,F,Midnight
270,09-07-2022,Sandwich,Fastfood,60,13,780,Cash,M,Evening
271,05-03-2022,Vadapav,Fastfood,20,13,260,Cash,M,Evening
272,7/29/2022,Frankie,Fastfood,50,5,250,Online,F,Night
273,8/15/2022,Panipuri,Fastfood,20,15,300,Cash,M,Midnight
274,01-04-2023,Sugarcane juice,Beverages,25,10,250,Online,M,Night
275,02-04-2023,Vadapav,Fastfood,20,15,300,Online,M,Night
276,9/30/2022,Sugarcane juice,Beverages,25,6,150,Cash,M,Midnight
277,12-08-2022,Cold coffee,Beverages,40,13,520,Cash,F,Midnight
278,6/19/2022,Frankie,Fastfood,50,6,300,Online,F,Night
279,9/14/2022,Vadapav,Fastfood,20,15,300,Cash,F,Afternoon
280,10-09-2022,Panipuri,Fastfood,20,14,280,Online,F,Evening
281,08-09-2022,Sandwich,Fastfood,60,3,180,Cash,F,Afternoon
282,5/16/2022,Vadapav,Fastfood,20,13,260,,F,Morning
283,07-02-2022,Panipuri,Fastfood,20,2,40,Cash,F,Midnight
284,1/29/2023,Frankie,Fastfood,50,7,350,,M,Afternoon
285,6/28/2022,Aalopuri,Fastfood,20,3,60,,M,Night
286,12/14/2022,Vadapav,Fastfood,20,6,120,,M,Night
287,08-06-2022,Aalopuri,Fastfood,20,3,60,Cash,M,Morning
288,8/22/2022,Sandwich,Fastfood,60,7,420,Cash,M,Night
289,11/28/2022,Aalopuri,Fastfood,20,7,140,Online,F,Midnight
290,05-03-2022,Panipuri,Fastfood,20,7,140,Cash,F,Morning
291,1/27/2023,Frankie,Fastfood,50,8,400,Online,F,Night
292,1/16/2023,Frankie,Fastfood,50,2,100,Cash,F,Midnight
293,4/21/2022,Panipuri,Fastfood,20,8,160,Online,F,Morning
294,9/23/2022,Aalopuri,Fastfood,20,1,20,Cash,F,Evening
295,7/21/2022,Sandwich,Fastfood,60,7,420,Cash,M,Midnight
296,02-06-2023,Panipuri,Fastfood,20,7,140,Cash,F,Afternoon
297,4/30/2022,Sandwich,Fastfood,60,10,600,Online,M,Evening
298,7/19/2022,Sugarcane juice,Beverages,25,9,225,Cash,F,Afternoon
299,7/22/2022,Aalopuri,Fastfood,20,1,20,Online,F,Evening
300,6/27/2022,Aalopuri,Fastfood,20,8,160,Cash,M,Afternoon
301,1/28/2023,Panipuri,Fastfood,20,7,140,Cash,M,Night
302,3/21/2023,Aalopuri,Fastfood,20,14,280,Cash,M,Night
303,07-02-2022,Sugarcane juice,Beverages,25,1,25,Cash,F,Midnight
304,5/28/2022,Vadapav,Fastfood,20,15,300,Online,M,Morning
305,03-05-2023,Panipuri,Fastfood,20,4,80,,F,Morning
306,03-03-2023,Cold coffee,Beverages,40,8,320,Online,F,Morning
307,2/13/2023,Vadapav,Fastfood,20,8,160,Cash,M,Evening
308,12/17/2022,Sandwich,Fastfood,60,13,780,Online,M,Evening
309,10/14/2022,Sandwich,Fastfood,60,8,480,Online,M,Evening
310,4/25/2022,Vadapav,Fastfood,20,4,80,Cash,M,Afternoon
311,7/31/2022,Frankie,Fastfood,50,7,350,,F,Morning
312,12/28/2022,Cold coffee,Beverages,40,1,40,Cash,F,Night
313,4/19/2022,Cold coffee,Beverages,40,1,40,Cash,M,Midnight
314,2/27/2023,Frankie,Fastfood,50,8,400,Online,F,Morning
315,2/20/2023,Cold coffee,Beverages,40,13,520,Online,F,Afternoon
316,11-02-2022,Frankie,Fastfood,50,4,200,Online,M,Morning
317,03-10-2023,Aalopuri,Fastfood,20,12,240,Online,F,Afternoon
318,12/21/2022,Aalopuri,Fastfood,20,10,200,Online,F,Midnight
319,6/30/2022,Frankie,Fastfood,50,15,750,Cash,M,Afternoon
320,3/18/2023,Sugarcane juice,Beverages,25,7,175,Cash,F,Afternoon
321,02-08-2023,Frankie,Fastfood,50,12,600,Cash,F,Evening
322,05-05-2022,Cold coffee,Beverages,40,11,440,Cash,M,Morning
323,12/29/2022,Aalopuri,Fastfood,20,4,80,Cash,M,Morning
324,7/18/2022,Sugarcane juice,Beverages,25,15,375,Online,F,Night
325,03-02-2023,Aalopuri,Fastfood,20,12,240,,F,Afternoon
326,05-03-2022,Sandwich,Fastfood,60,8,480,Cash,M,Evening
327,11/29/2022,Frankie,Fastfood,50,15,750,Cash,F,Midnight
328,6/16/2022,Vadapav,Fastfood,20,3,60,Online,M,Evening
329,01-10-2023,Panipuri,Fastfood,20,7,140,Online,F,Afternoon
330,9/22/2022,Panipuri,Fastfood,20,8,160,,M,Morning
331,8/21/2022,Panipuri,Fastfood,20,4,80,Online,F,Evening
332,2/17/2023,Aalopuri,Fastfood,20,2,40,,F,Afternoon
333,10/30/2022,Sugarcane juice,Beverages,25,11,275,Cash,F,Afternoon
334,04-04-2022,Cold coffee,Beverages,40,4,160,Cash,F,Evening
